"timestamp","cpu","ram","sockets","net_speed","threads","label"
"1767023588.2753623","10.9","94.4","2062","1142929","4139","0"
"1767023590.8728673","7.3","94.0","2058","1996866","4108","0"
"1767023593.788896","11.1","94.8","2072","1315774","4109","0"
"1767023596.9266272","15.6","93.7","2074","1397575","4127","0"
"1767023599.130849","8.0","93.5","2068","1265771","4122","0"
"1767023601.322826","6.0","93.5","2068","125373","4120","0"
"1767023603.3284926","4.7","93.1","2066","147668","4119","0"
"1767023605.7120018","8.9","93.9","2078","52519","4142","0"
"1767023607.8358734","6.2","94.0","2079","421164","4146","0"
"1767023609.9416049","5.7","93.3","2078","152745","4122","0"
"1767023611.9729576","4.6","93.3","2072","21123","4114","0"
"1767023614.0128245","4.2","93.1","2071","26286","4114","0"
"1767023616.0177803","4.2","93.1","2065","19852","4128","0"
"1767023618.1035302","6.4","91.9","2061","6180","4132","0"
"1767023620.1746309","5.2","93.0","2061","22802","4195","0"
"1767023622.4282067","5.4","93.8","2060","39056","4228","0"
"1767023624.5090332","6.4","94.4","2054","417296","4228","0"
"1767023627.5241492","8.7","94.7","2058","155729","4231","0"
"1767023630.4865155","9.3","95.5","2060","2100451","4232","0"
"1767023633.2189918","10.2","94.8","2066","820060","4220","0"
"1767023635.6818178","7.9","94.6","2067","1873419","4217","0"
"1767023638.5253012","13.7","95.1","2075","1551100","4225","0"
"1767023641.3030727","13.1","94.5","2073","1470535","4254","0"
"1767023644.0717316","11.9","93.8","2073","1258333","4250","0"
"1767023646.693001","14.6","93.7","2078","1427998","4255","0"
"1767023649.5078971","17.9","93.1","2064","1644286","4255","0"
"1767023652.308864","16.8","93.5","2067","1839677","4305","0"
"1767023655.211888","17.1","93.4","2063","1785851","4289","0"
"1767023657.9146516","12.3","93.2","2060","1865527","4275","0"
"1767023660.5111825","13.8","93.2","2048","1543089","4268","0"
"1767023663.2456906","15.4","93.3","2046","1480372","4265","0"
"1767023666.1113384","12.5","93.5","2043","1616240","4264","0"
"1767023669.7996101","24.3","92.7","2038","1860334","4240","0"
"1767023672.3832629","11.9","92.5","2036","2230597","4236","0"
"1767023675.0475156","13.0","92.3","2025","1591781","4240","0"
"1767023677.791023","13.4","92.3","2026","1623980","4246","0"
"1767023680.6863594","16.2","92.3","2028","1609808","4271","0"
"1767023683.3559365","13.8","91.9","2033","1916503","4239","0"
"1767023686.0059328","16.9","91.8","2031","1539840","4230","0"
"1767023688.4081619","12.8","91.9","2028","1772417","4201","0"
"1767023690.9633858","12.4","91.9","2028","1393324","4190","0"
"1767023693.4040453","12.8","91.9","2027","1561049","4185","0"
"1767023695.6921985","10.6","91.8","2020","1394998","4185","0"
"1767023698.5032687","14.3","91.9","2020","1031225","4183","0"
"1767023701.6190922","15.1","92.1","2017","1788591","4182","0"
"1767023704.0757482","14.2","92.2","2016","1721324","4181","0"
"1767023707.9765522","27.1","94.0","2013","1157541","4168","0"
"1767023710.498931","11.2","93.7","2009","2149286","4141","0"
"1767023713.0095992","12.9","92.2","2009","1388118","4125","0"
"1767023715.4950244","15.9","89.4","2007","1561310","4135","0"
"1767023717.991323","11.4","89.5","2006","1374540","4135","0"
"1767023720.350736","9.7","89.5","2005","1314953","4127","0"
"1767023722.6616755","9.8","89.4","2004","1476093","4132","0"
"1767023725.2412415","12.8","89.3","2003","1055869","4133","0"
"1767023727.8465068","12.6","89.4","2002","1597611","4134","0"
"1767023730.3613307","12.1","88.7","2002","1321460","4111","0"
"1767023732.962681","15.1","88.7","1996","1490995","4114","0"
"1767023735.5941634","10.4","88.2","2006","1531233","4092","0"
"1767023738.0152082","9.6","88.4","2005","1352120","4089","0"
"1767023740.5481553","13.1","90.0","2008","1458816","4145","0"
"1767023742.8190844","10.3","90.1","2008","1521793","4147","0"
"1767023745.396805","12.2","90.0","2008","893483","4146","0"
"1767023748.8066502","18.8","90.2","2008","1518950","4137","0"
"1767023751.3723373","15.4","90.1","2010","1828895","4130","0"
"1767023753.7886608","7.3","90.1","2012","1479798","4109","0"
"1767023755.9864318","6.7","90.1","2011","795779","4101","0"
"1767023758.209142","5.5","90.1","2010","437835","4099","0"
"1767023760.492775","5.8","90.1","2010","557364","4103","0"
"1767023762.6528563","6.3","90.4","2009","654548","4113","0"
"1767023764.6883664","4.6","90.4","2003","110029","4111","0"
"1767023766.8330708","5.6","90.5","2003","53254","4113","0"
