timestamp,cpu,ram,label
1769803168.893193,16.7,88.9,0
1769803169.8948262,27.0,89.3,0
1769803170.895977,27.3,89.2,0
1769803171.8968055,26.5,90.0,0
1769803172.8983648,16.9,90.0,0
1769803173.8999944,15.4,89.6,0
1769803174.9015598,11.4,89.7,0
1769803175.9030075,11.0,89.9,0
1769803176.9048522,17.9,89.7,0
1769803177.9063013,15.6,90.4,0
1769803178.9128935,23.5,90.9,0
1769803179.9478714,25.9,89.0,0
1769803180.9500809,17.7,89.2,0
1769803181.9515412,20.5,89.2,0
1769803182.9536655,15.2,89.1,0
1769803183.955756,13.8,89.1,0
1769803184.9581614,13.2,89.0,0
1769803185.9603796,16.0,89.1,0
1769803186.962373,13.9,89.1,0
1769803187.9642193,13.8,89.1,0
1769803188.9662418,15.3,89.0,0
1769803189.9682896,16.3,89.0,0
1769803190.971302,19.2,89.1,0
1769803191.9745128,18.6,88.7,0
1769803192.9771647,23.9,88.8,0
1769803193.979321,18.4,88.7,0
1769803194.9811418,12.2,88.7,0
1769803195.9828815,14.6,88.6,0
1769803196.985116,11.6,88.6,0
1769803197.9867573,11.9,88.0,0
1769803198.9889805,15.5,87.9,0
1769803199.9915905,21.4,88.0,0
1769803200.9938807,25.3,88.2,0
1769803201.9950464,30.9,88.9,0
1769803202.9971511,20.5,88.3,0
1769803203.999536,13.9,88.2,0
1769803205.0013943,15.7,88.2,0
1769803206.0035923,10.3,88.3,0
1769803207.005689,16.6,88.2,0
1769803208.0083258,11.3,88.0,0
1769803209.0111682,10.1,88.0,0
1769803210.0128295,15.1,88.0,0
1769803211.0261354,17.4,87.7,0
1769803212.027908,11.6,87.7,0
1769803213.029989,17.3,87.9,0
1769803214.0322194,12.1,87.9,0
1769803215.0340185,10.5,87.9,0
1769803216.0360847,15.6,87.9,0
1769803217.0381851,12.3,87.9,0
1769803218.040135,21.8,87.9,0
1769803219.0425384,13.8,87.9,0
1769803220.0447733,12.7,88.0,0
1769803221.046396,8.5,88.0,0
1769803222.0480666,8.5,88.0,0
1769803223.0507143,8.6,87.9,0
1769803224.0527685,11.8,88.0,0
1769803225.0550213,9.0,88.0,0
1769803226.0576355,11.9,88.0,0
1769803227.0596025,13.0,88.0,0
1769803228.0613413,17.4,87.9,0
1769803229.0636768,18.8,87.5,0
1769803230.0665534,31.7,86.4,0
1769803231.0686226,12.3,86.3,0
1769803232.0702271,14.1,86.4,0
1769803233.072459,13.6,86.2,0
1769803234.0752087,11.9,86.2,0
1769803235.077109,10.1,86.1,0
1769803236.0782957,13.7,86.1,0
1769803237.080271,14.7,86.2,0
1769803238.0821898,13.3,86.2,0
1769803239.0840826,13.1,86.4,0
1769803240.085691,10.2,86.4,0
1769803241.0882225,10.5,86.2,0
1769803242.091726,11.2,86.3,0
1769803243.0937717,15.8,86.3,0
1769803244.0955544,12.1,86.3,0
1769803245.0972831,9.7,86.3,0
1769803246.0992198,11.5,86.2,0
