"timestamp","cpu","ram","sockets","net_speed","threads","label"
"1767023844.0701876","5.5","88.2","1995","1096445","4136","0"
"1767023846.5050404","5.9","88.0","1994","770239","4137","0"
"1767023849.0008805","6.9","87.2","1992","881943","4134","0"
"1767023854.3328772","12.7","87.2","1989","1298618","4104","0"
"1767023860.7730837","12.4","89.5","1997","1937501","4244","0"
"1767023866.3647907","8.4","90.1","2001","1149905","4278","0"
"1767023869.1347609","8.2","90.2","2001","1535708","4274","0"
"1767023871.75369","6.8","90.2","2001","1261509","4274","0"
"1767023885.1356974","8.6","90.9","2013","1094625","4270","0"
"1767023891.8097217","7.9","90.1","2018","1135417","4235","0"
"1767023900.2973752","6.7","90.7","2017","1802470","4201","0"
"1767023902.9078598","6.0","91.2","2015","1741988","4203","0"
"1767023909.1601338","8.5","91.5","2006","1638584","4189","0"
"1767023912.5408316","9.7","92.1","2006","1614217","4165","0"
"1767023915.7757528","9.6","92.3","2005","1924918","4159","0"
"1767023923.075758","5.5","93.9","2015","493332","4244","0"
"1767023925.1215584","4.6","93.9","2015","107264","4238","0"
"1767023927.3153915","7.0","93.9","2015","217895","4225","0"
"1767023932.5457623","13.6","94.1","2024","618592","4252","0"
"1767023941.2842355","13.7","92.8","2026","1579094","4279","0"
"1767023947.1880813","7.8","91.2","2030","939612","4271","0"
"1767023952.7028673","6.6","90.5","2019","962088","4247","0"
"1767023958.3907187","8.4","90.7","2021","888755","4213","0"
"1767023963.3426404","5.2","90.5","2008","1160555","4199","0"
"1767023966.0592496","8.9","90.2","2004","761784","4198","0"
"1767023980.4018347","12.9","89.6","2007","670487","4203","0"
"1767023989.1254911","11.1","89.1","2003","1882022","4164","0"
"1767023991.9527357","14.5","88.6","2001","1380486","4161","0"
"1767023996.2890472","5.0","88.9","2004","158227","4160","0"
"1767024002.4176152","4.5","88.9","2005","259860","4166","0"
"1767024008.550936","17.0","89.2","1995","1165823","4125","0"
"1767024021.2732778","10.3","90.0","1994","1554152","4123","0"
"1767024025.4225934","4.5","89.8","1993","369773","4090","0"
"1767024027.462825","4.3","89.8","1992","37677","4090","0"
"1767024031.5349884","4.6","88.8","1992","36158","4064","0"
"1767024033.5918188","6.6","87.6","1992","15125","4065","0"
"1767024035.602931","4.5","87.6","1992","55","4074","0"
"1767024041.8410947","5.2","88.0","1996","15598","4088","0"
"1767024043.8608122","4.5","88.0","1996","338","4088","0"
"1767024045.8433883","4.5","88.0","1996","4841","4083","0"
"1767024054.017715","4.4","87.8","1992","399","4077","0"
"1767024056.0277944","4.5","87.7","1992","582","4076","0"
"1767024058.027671","5.3","88.1","1992","39921","4086","0"
"1767024066.1069908","9.7","88.5","1992","1628976","4098","0"
"1767024068.9933271","14.7","87.9","1989","2049426","4099","0"
"1767024073.4958746","6.9","86.5","1991","240996","4095","0"
"1767024075.5601525","4.9","86.5","1991","62710","4098","0"
"1767024079.5739408","4.3","86.5","1991","39881","4092","0"
"1767024081.6121","4.6","86.5","1991","36482","4092","0"
"1767024086.0361059","6.1","86.4","1991","141","4089","0"
"1767024099.4144","7.5","87.3","1995","46320","4045","0"
"1767024107.5269468","21.9","86.5","1991","752575","4078","0"
"1767024113.5028617","10.7","86.6","1991","1518286","4068","0"
"1767024123.597563","11.4","87.1","1992","2069161","4111","0"
"1767024126.5368116","9.8","87.0","1990","634719","4115","0"
"1767024133.9152718","11.3","86.5","1999","559767","4086","0"
"1767024137.2745252","17.0","86.7","1998","1544048","4081","0"
"1767024145.840818","14.8","86.6","1996","1810285","4081","0"
"1767024154.0123057","8.0","85.5","1998","1451560","4053","0"
"1767024156.4427462","7.7","85.5","2000","864423","4056","0"
"1767024162.9878912","9.4","86.6","2010","2130348","4100","0"
"1767024166.5071313","16.2","86.6","2010","1819557","4097","0"
"1767024182.603342","8.2","86.7","2009","173911","4104","0"
"1767024191.5761743","21.0","86.6","2000","1926124","4101","0"
"1767024193.9556367","11.9","86.5","2001","2249063","4098","0"
"1767024196.6113336","11.6","86.2","2001","322561","4095","0"
"1767024199.5331717","15.0","86.3","2001","1365276","4094","0"
"1767024202.663312","13.8","86.3","2001","1710639","4092","0"
"1767024225.416172","6.4","87.8","2002","1322085","4297","0"
"1767024227.850538","6.0","87.8","1999","1023738","4294","0"
"1767024231.2138252","19.2","87.9","2001","1329152","4290","0"
"1767024234.5606546","16.6","87.8","2003","2066840","4288","0"
"1767024240.2857823","10.8","87.8","2003","1260519","4295","0"
